Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Category
9,63,Yes,5,5,58,Stressed Burnout
2,91,Yes,4,3,69,Moderate
9,52,Yes,9,9,54,Moderate
6,95,Yes,5,9,85,Moderate
1,59,Yes,7,9,33,Moderate
4,54,No,5,2,33,Moderate
1,95,Yes,6,0,67,Moderate
6,92,Yes,6,1,80,Moderate
4,43,No,7,1,25,Optimal Balance
3,93,No,8,4,76,Moderate
3,73,Yes,6,3,53,Moderate
9,67,Yes,7,1,63,Inefficient High Effort
6,89,Yes,4,8,75,Moderate
9,41,No,8,6,38,Moderate
5,96,Yes,6,7,79,Moderate
2,86,No,7,7,63,Moderate
8,69,No,7,1,60,Moderate
5,65,No,4,4,49,Moderate
2,90,No,4,2,66,Moderate
4,86,No,8,9,71,Optimal Balance
9,65,Yes,9,8,66,Moderate
4,59,Yes,6,8,41,Moderate
4,81,No,7,5,67,Optimal Balance
2,67,No,8,3,46,Moderate
6,95,No,8,7,86,Optimal Balance
2,59,No,4,4,37,Moderate
7,50,Yes,7,2,42,Moderate
3,97,No,5,7,77,Moderate
3,49,No,9,5,32,Moderate
5,62,Yes,9,4,47,Moderate
3,76,Yes,4,0,54,Moderate
2,80,Yes,7,2,60,Moderate
9,91,Yes,8,6,89,Moderate
2,58,No,9,2,34,Moderate
2,84,No,8,0,59,Moderate
8,57,No,6,7,52,Moderate
9,88,No,5,6,84,Stressed Burnout
7,66,No,4,4,57,Stressed Burnout
3,45,No,9,9,30,Moderate
9,49,No,6,4,47,Inefficient High Effort
3,41,No,6,5,15,Moderate
5,63,No,5,6,49,Moderate
9,77,Yes,4,2,74,Stressed Burnout
3,67,No,4,3,45,Moderate
7,67,Yes,8,0,61,Moderate
1,92,Yes,4,6,67,Moderate
4,84,Yes,6,9,64,Moderate
4,89,Yes,8,1,73,Optimal Balance
7,78,No,4,6,68,Stressed Burnout
8,41,Yes,5,5,33,Stressed Burnout
1,85,Yes,6,3,60,Moderate
5,44,No,7,1,30,Optimal Balance
7,89,Yes,5,6,82,Stressed Burnout
4,50,No,5,6,33,Moderate
4,49,No,4,4,28,Moderate
4,82,No,8,8,64,Optimal Balance
6,98,No,8,2,88,Optimal Balance
7,41,Yes,6,8,35,Moderate
2,54,No,4,4,30,Moderate
5,78,Yes,8,1,60,Optimal Balance
4,80,Yes,9,8,66,Moderate
3,76,No,7,0,52,Moderate
7,46,Yes,9,0,39,Moderate
6,59,No,4,6,45,Moderate
7,73,Yes,4,2,64,Stressed Burnout
5,74,Yes,8,7,66,Optimal Balance
6,73,Yes,5,6,61,Moderate
5,92,Yes,4,6,76,Moderate
7,61,No,5,0,49,Stressed Burnout
2,70,No,6,0,43,Moderate
5,62,Yes,6,1,45,Moderate
6,58,Yes,8,1,49,Optimal Balance
6,43,Yes,6,4,27,Moderate
5,63,Yes,9,8,50,Moderate
7,59,No,9,6,52,Moderate
8,78,Yes,9,1,72,Moderate
7,67,Yes,8,4,62,Moderate
5,93,Yes,8,4,80,Optimal Balance
1,78,No,9,7,53,Moderate
5,56,Yes,5,8,42,Moderate
2,58,No,9,7,37,Moderate
5,93,No,5,1,77,Moderate
5,87,Yes,6,3,73,Moderate
2,74,Yes,5,1,46,Moderate
5,71,Yes,4,5,54,Moderate
4,86,No,7,3,70,Optimal Balance
1,85,No,4,6,60,Moderate
3,86,Yes,4,1,67,Moderate
1,85,No,8,8,58,Moderate
5,78,Yes,7,4,63,Optimal Balance
4,96,Yes,8,0,83,Optimal Balance
7,74,Yes,5,2,64,Stressed Burnout
5,69,Yes,9,3,57,Moderate
4,56,Yes,5,2,45,Moderate
2,81,Yes,7,5,61,Moderate
4,86,No,6,5,68,Moderate
2,68,No,5,9,45,Moderate
8,45,No,4,6,39,Stressed Burnout
3,99,Yes,7,8,77,Moderate
9,56,Yes,7,9,55,Inefficient High Effort
4,56,Yes,5,8,38,Moderate
6,53,No,5,6,40,Moderate
5,63,Yes,8,0,49,Optimal Balance
1,96,No,8,2,74,Moderate
9,89,Yes,4,4,86,Stressed Burnout
1,96,No,7,9,72,Moderate
8,76,Yes,6,5,72,Moderate
9,79,Yes,6,5,77,Inefficient High Effort
9,78,No,7,4,76,Inefficient High Effort
1,94,No,4,5,67,Moderate
2,71,No,8,8,52,Moderate
1,75,Yes,8,0,52,Moderate
2,89,No,8,0,67,Moderate
8,76,No,6,8,66,Moderate
5,87,Yes,6,7,74,Moderate
7,53,Yes,4,8,40,Stressed Burnout
2,66,No,6,6,44,Moderate
8,98,Yes,5,9,97,Stressed Burnout
6,58,No,6,5,48,Moderate
8,70,No,8,8,65,Moderate
1,85,No,4,1,57,Moderate
1,48,Yes,7,3,19,Moderate
7,77,No,7,1,68,Moderate
8,56,No,4,5,48,Stressed Burnout
3,58,Yes,5,0,34,Moderate
5,83,No,7,6,67,Optimal Balance
1,43,No,8,6,15,Moderate
7,87,No,7,6,83,Moderate
5,96,Yes,7,3,83,Optimal Balance
8,50,No,8,7,46,Moderate
8,61,Yes,6,4,57,Moderate
9,43,Yes,5,1,42,Stressed Burnout
7,56,No,8,4,51,Moderate
1,47,No,8,9,24,Moderate
3,85,Yes,9,8,64,Moderate
8,98,No,4,9,94,Stressed Burnout
3,73,No,5,0,50,Moderate
8,50,Yes,6,1,41,Moderate
1,70,No,9,9,45,Moderate
5,50,No,8,7,37,Optimal Balance
4,95,Yes,9,4,75,Moderate
5,93,No,6,8,80,Moderate
8,95,Yes,9,5,94,Moderate
4,77,Yes,9,7,62,Moderate
4,92,No,9,0,73,Moderate
3,60,Yes,8,8,43,Moderate
7,85,No,8,8,78,Moderate
3,69,No,4,2,51,Moderate
3,49,Yes,7,0,24,Moderate
5,65,Yes,5,7,46,Moderate
5,66,Yes,4,7,51,Moderate
6,47,Yes,6,8,35,Moderate
8,78,Yes,9,5,75,Moderate
6,47,Yes,8,8,38,Optimal Balance
1,99,No,9,9,79,Moderate
8,47,No,8,8,42,Moderate
8,94,Yes,5,3,89,Stressed Burnout
9,73,No,4,4,66,Stressed Burnout
9,98,Yes,4,5,100,Stressed Burnout
2,55,Yes,6,5,34,Moderate
2,80,No,4,9,59,Moderate
3,52,No,4,1,28,Moderate
1,62,Yes,7,3,39,Moderate
4,51,Yes,5,8,36,Moderate
4,66,Yes,9,6,52,Moderate
9,61,No,4,8,57,Stressed Burnout
9,71,Yes,6,5,66,Inefficient High Effort
9,96,Yes,9,6,95,Moderate
7,88,No,8,8,79,Moderate
2,66,No,4,3,42,Moderate
5,41,No,4,8,23,Moderate
4,84,Yes,9,2,67,Moderate
8,72,Yes,8,7,64,Moderate
2,65,No,7,2,43,Moderate
6,67,Yes,5,2,56,Moderate
5,58,Yes,7,2,43,Optimal Balance
2,82,No,6,8,55,Moderate
1,44,No,9,9,16,Moderate
8,72,Yes,4,2,65,Stressed Burnout
2,59,No,7,5,38,Moderate
7,69,No,5,3,57,Stressed Burnout
9,84,Yes,6,1,83,Inefficient High Effort
9,47,Yes,7,2,47,Inefficient High Effort
8,77,Yes,4,4,71,Stressed Burnout
9,56,Yes,5,9,56,Stressed Burnout
2,83,Yes,4,3,57,Moderate
6,40,Yes,4,4,23,Moderate
4,42,No,6,0,27,Moderate
4,85,No,5,3,65,Moderate
5,65,No,8,9,54,Optimal Balance
3,70,Yes,4,2,50,Moderate
1,47,Yes,5,1,23,Moderate
8,82,Yes,4,6,77,Stressed Burnout
5,98,Yes,7,9,83,Optimal Balance
3,85,Yes,7,8,66,Moderate
7,47,No,5,0,38,Stressed Burnout
7,74,Yes,6,6,65,Moderate
1,78,No,8,0,54,Moderate
9,67,Yes,7,4,65,Inefficient High Effort
2,90,No,6,0,68,Moderate
5,43,No,8,2,31,Optimal Balance
5,96,No,7,7,83,Optimal Balance
8,55,No,8,3,49,Moderate
8,52,No,9,0,45,Moderate
7,59,No,4,0,46,Stressed Burnout
7,90,No,5,7,85,Stressed Burnout
6,44,Yes,7,7,33,Optimal Balance
6,94,Yes,7,3,83,Optimal Balance
9,76,No,4,3,71,Stressed Burnout
6,59,Yes,7,9,49,Optimal Balance
2,63,Yes,7,1,39,Moderate
2,75,No,9,1,51,Moderate
5,73,Yes,7,5,57,Optimal Balance
4,97,No,7,7,81,Optimal Balance
2,84,Yes,7,6,65,Moderate
3,87,No,6,6,66,Moderate
7,93,Yes,7,2,86,Moderate
8,73,No,4,1,66,Stressed Burnout
6,58,Yes,9,9,50,Moderate
5,56,Yes,7,6,46,Optimal Balance
1,44,Yes,8,3,20,Moderate
8,64,No,9,0,58,Moderate
3,57,No,9,0,38,Moderate
6,99,Yes,8,3,91,Optimal Balance
3,94,Yes,4,4,77,Moderate
7,92,No,6,4,83,Moderate
7,89,Yes,4,0,79,Stressed Burnout
9,47,Yes,6,2,50,Inefficient High Effort
5,66,No,5,5,51,Moderate
8,54,No,8,9,49,Moderate
8,84,Yes,9,6,79,Moderate
1,52,No,9,0,26,Moderate
5,55,Yes,9,7,42,Moderate
3,61,Yes,8,3,42,Moderate
1,59,No,8,8,35,Moderate
4,52,Yes,6,5,31,Moderate
8,59,No,9,0,50,Moderate
3,41,No,4,1,18,Moderate
2,74,Yes,6,2,50,Moderate
9,86,No,9,1,82,Moderate
5,94,Yes,8,9,78,Optimal Balance
7,58,No,8,6,53,Moderate
2,84,Yes,8,0,65,Moderate
9,76,No,9,8,76,Moderate
9,97,Yes,8,1,94,Moderate
4,93,Yes,5,3,79,Moderate
4,45,No,8,7,27,Optimal Balance
6,53,Yes,9,2,43,Moderate
6,43,Yes,6,8,30,Moderate
1,61,Yes,8,6,37,Moderate
9,90,Yes,7,9,90,Inefficient High Effort
2,94,Yes,5,2,68,Moderate
5,78,Yes,9,2,64,Moderate
9,75,No,8,4,73,Moderate
4,73,No,7,4,53,Optimal Balance
3,66,No,9,9,46,Moderate
7,46,No,6,4,37,Moderate
6,42,Yes,5,8,29,Moderate
8,86,Yes,8,8,80,Moderate
3,72,No,6,5,52,Moderate
5,41,Yes,9,6,29,Moderate
4,81,No,7,9,70,Optimal Balance
4,55,Yes,9,7,40,Moderate
4,64,Yes,9,8,49,Moderate
8,99,No,5,5,92,Stressed Burnout
6,54,Yes,8,7,46,Optimal Balance
3,63,No,6,1,42,Moderate
5,54,No,5,9,41,Moderate
6,70,No,7,7,60,Optimal Balance
5,53,Yes,8,1,41,Optimal Balance
6,93,Yes,5,7,83,Moderate
8,53,No,7,1,43,Moderate
7,45,Yes,7,2,36,Moderate
5,53,No,6,6,38,Moderate
6,56,No,9,8,47,Moderate
4,57,Yes,7,2,40,Optimal Balance
9,59,No,7,4,59,Inefficient High Effort
4,90,Yes,9,8,76,Moderate
1,56,Yes,4,6,31,Moderate
7,55,Yes,7,1,44,Moderate
7,79,No,8,4,71,Moderate
4,78,No,5,4,59,Moderate
3,91,Yes,9,8,69,Moderate
8,71,Yes,9,1,63,Moderate
5,99,No,9,0,87,Moderate
7,83,Yes,8,3,77,Moderate
4,48,Yes,9,3,31,Moderate
4,66,No,8,0,47,Optimal Balance
8,85,No,6,9,78,Moderate
8,91,No,4,6,86,Stressed Burnout
2,72,Yes,9,1,48,Moderate
2,49,No,4,8,24,Moderate
3,56,No,9,6,39,Moderate
3,88,No,8,6,71,Moderate
1,88,No,5,0,60,Moderate
3,75,No,4,8,54,Moderate
6,56,No,4,9,45,Moderate
8,57,No,8,8,51,Moderate
6,91,Yes,4,1,78,Moderate
5,62,No,6,9,48,Moderate
4,73,Yes,8,8,59,Optimal Balance
3,47,Yes,4,1,28,Moderate
4,52,No,4,1,35,Moderate
7,62,Yes,4,7,55,Stressed Burnout
1,96,No,8,2,69,Moderate
7,93,Yes,5,2,87,Stressed Burnout
1,59,No,7,6,32,Moderate
2,61,Yes,9,9,37,Moderate
4,86,No,4,5,66,Moderate
1,91,No,7,6,66,Moderate
9,62,Yes,7,5,56,Inefficient High Effort
6,80,Yes,4,8,70,Moderate
1,74,No,4,1,48,Moderate
1,42,Yes,9,7,17,Moderate
6,73,No,7,5,59,Optimal Balance
4,72,Yes,5,3,56,Moderate
4,85,No,7,5,66,Optimal Balance
6,56,Yes,5,5,41,Moderate
7,84,No,6,9,76,Moderate
9,58,Yes,5,2,54,Stressed Burnout
5,69,No,9,7,57,Moderate
9,62,Yes,8,4,62,Moderate
4,54,No,4,9,38,Moderate
2,98,Yes,6,3,73,Moderate
3,96,Yes,7,1,72,Moderate
1,53,No,5,9,28,Moderate
6,41,Yes,6,0,28,Moderate
6,78,Yes,8,6,67,Optimal Balance
1,88,No,5,9,62,Moderate
3,57,No,9,2,36,Moderate
5,45,No,7,2,33,Optimal Balance
3,98,No,7,2,74,Moderate
3,71,Yes,5,9,52,Moderate
3,60,Yes,8,2,38,Moderate
5,79,Yes,4,1,62,Moderate
5,67,No,4,5,50,Moderate
4,66,Yes,7,9,48,Optimal Balance
1,41,Yes,8,2,15,Moderate
5,72,No,7,0,51,Optimal Balance
5,55,Yes,4,9,37,Moderate
4,78,Yes,7,8,59,Optimal Balance
6,61,No,5,5,46,Moderate
4,95,Yes,9,5,78,Moderate
7,82,No,5,9,74,Stressed Burnout
7,86,No,9,8,78,Moderate
2,52,Yes,8,1,27,Moderate
3,95,Yes,4,9,74,Moderate
1,41,Yes,8,8,15,Moderate
8,53,No,8,2,46,Moderate
9,95,No,4,2,90,Stressed Burnout
4,77,Yes,6,2,58,Moderate
6,80,Yes,6,0,65,Moderate
9,67,No,7,9,65,Inefficient High Effort
6,46,Yes,6,6,36,Moderate
9,57,Yes,5,9,52,Stressed Burnout
4,95,No,9,6,79,Moderate
8,80,Yes,8,1,74,Moderate
9,94,Yes,7,5,93,Inefficient High Effort
4,75,Yes,8,3,57,Optimal Balance
5,80,Yes,4,6,65,Moderate
8,75,No,6,6,69,Moderate
6,83,No,4,3,71,Moderate
7,43,No,7,2,31,Moderate
3,96,No,9,6,78,Moderate
7,69,Yes,5,8,60,Stressed Burnout
8,63,Yes,6,3,58,Moderate
6,59,Yes,4,5,46,Moderate
9,85,Yes,9,6,87,Moderate
6,95,No,6,9,81,Moderate
9,70,Yes,8,2,69,Moderate
4,63,Yes,5,4,46,Moderate
8,46,No,9,0,41,Moderate
4,65,No,6,5,50,Moderate
2,52,No,5,4,24,Moderate
9,93,Yes,9,6,97,Moderate
5,47,No,8,8,35,Optimal Balance
4,94,Yes,8,3,82,Optimal Balance
2,44,Yes,4,8,24,Moderate
1,83,No,7,5,59,Moderate
7,52,No,4,4,42,Stressed Burnout
6,68,No,5,1,56,Moderate
2,59,Yes,4,0,30,Moderate
8,53,Yes,9,7,49,Moderate
4,71,Yes,6,5,56,Moderate
8,99,No,9,6,98,Moderate
7,89,Yes,4,5,79,Stressed Burnout
5,66,Yes,7,9,54,Optimal Balance
8,95,Yes,9,6,93,Moderate
9,64,Yes,9,8,63,Moderate
5,91,No,9,4,76,Moderate
5,43,Yes,7,0,27,Optimal Balance
2,60,No,9,0,35,Moderate
5,57,No,5,8,39,Moderate
3,78,Yes,8,4,59,Moderate
7,54,Yes,7,1,50,Moderate
5,92,No,5,2,77,Moderate
8,77,Yes,7,0,70,Moderate
1,87,No,7,5,62,Moderate
3,91,Yes,8,5,71,Moderate
3,63,Yes,6,2,39,Moderate
9,47,No,5,2,41,Stressed Burnout
5,67,Yes,7,6,51,Optimal Balance
9,60,No,7,0,52,Inefficient High Effort
9,55,No,4,4,49,Stressed Burnout
1,99,Yes,9,2,76,Moderate
2,93,No,6,4,71,Moderate
5,55,Yes,8,3,42,Optimal Balance
4,74,Yes,5,5,60,Moderate
9,56,Yes,7,8,53,Inefficient High Effort
7,48,No,9,1,40,Moderate
6,96,Yes,5,9,85,Moderate
7,74,Yes,8,7,70,Moderate
1,91,No,6,1,63,Moderate
1,68,No,4,3,42,Moderate
8,78,No,6,8,73,Moderate
2,57,No,4,3,35,Moderate
9,51,Yes,5,6,48,Stressed Burnout
7,58,Yes,6,4,49,Moderate
6,87,Yes,6,1,75,Moderate
1,61,Yes,6,7,35,Moderate
1,98,No,8,9,70,Moderate
2,95,No,5,9,71,Moderate
6,88,Yes,4,1,74,Moderate
6,91,No,6,2,77,Moderate
2,54,No,5,9,30,Moderate
1,40,No,9,6,13,Moderate
5,41,No,8,4,26,Optimal Balance
5,47,No,8,9,35,Optimal Balance
2,61,Yes,9,2,40,Moderate
6,64,Yes,5,1,55,Moderate
9,41,No,4,5,37,Stressed Burnout
2,90,No,5,9,64,Moderate
2,48,Yes,5,0,23,Moderate
3,48,Yes,7,7,27,Moderate
7,52,No,8,4,42,Moderate
6,45,No,4,4,34,Moderate
8,69,No,7,1,63,Moderate
8,54,Yes,9,6,50,Moderate
6,90,No,5,4,75,Moderate
3,92,No,9,7,74,Moderate
3,54,No,8,4,39,Moderate
1,89,No,7,8,63,Moderate
7,46,No,7,4,36,Moderate
5,97,No,4,2,84,Moderate
4,50,No,5,1,30,Moderate
4,79,No,4,4,60,Moderate
4,77,Yes,7,9,61,Optimal Balance
6,79,Yes,7,9,70,Optimal Balance
8,41,Yes,4,4,32,Stressed Burnout
8,90,No,7,5,87,Moderate
5,87,Yes,6,1,72,Moderate
6,78,Yes,8,4,68,Optimal Balance
4,49,Yes,5,0,29,Moderate
9,83,Yes,8,2,78,Moderate
8,56,Yes,5,2,45,Stressed Burnout
1,46,No,7,2,20,Moderate
2,93,Yes,4,2,66,Moderate
9,79,No,4,7,77,Stressed Burnout
8,78,No,7,0,72,Moderate
3,43,Yes,5,5,26,Moderate
8,74,No,7,5,67,Moderate
1,90,Yes,5,0,67,Moderate
4,86,No,7,0,68,Optimal Balance
3,75,No,7,2,56,Moderate
6,70,Yes,7,7,61,Optimal Balance
7,64,No,4,5,50,Stressed Burnout
4,80,No,5,3,68,Moderate
7,52,No,9,4,47,Moderate
9,57,No,7,9,56,Inefficient High Effort
2,60,No,8,2,40,Moderate
3,87,No,8,5,68,Moderate
5,40,No,4,5,26,Moderate
3,75,No,6,5,55,Moderate
8,89,Yes,9,8,84,Moderate
8,47,No,4,9,40,Stressed Burnout
8,91,Yes,6,7,85,Moderate
9,87,Yes,4,5,85,Stressed Burnout
4,60,No,8,1,40,Optimal Balance
5,82,No,7,3,68,Optimal Balance
5,91,Yes,5,5,74,Moderate
8,92,Yes,7,8,90,Moderate
7,92,Yes,8,1,82,Moderate
9,60,No,5,5,57,Stressed Burnout
8,66,No,6,9,61,Moderate
2,58,No,6,9,38,Moderate
4,62,Yes,8,9,46,Optimal Balance
6,90,No,5,6,80,Moderate
2,89,No,7,7,67,Moderate
7,90,No,8,8,84,Moderate
3,82,No,6,4,58,Moderate
3,74,Yes,8,8,55,Moderate
2,79,No,7,8,57,Moderate
8,91,No,4,6,87,Stressed Burnout
6,90,Yes,9,1,80,Moderate
1,81,No,9,7,54,Moderate
1,87,Yes,9,4,64,Moderate
7,44,Yes,4,7,33,Stressed Burnout
8,91,No,7,1,83,Moderate
5,80,Yes,5,6,66,Moderate
5,47,No,8,4,33,Optimal Balance
4,50,Yes,7,3,31,Optimal Balance
6,55,Yes,4,9,40,Moderate
6,78,No,6,5,66,Moderate
3,86,Yes,9,4,67,Moderate
9,63,No,9,5,64,Moderate
7,60,No,7,8,52,Moderate
1,91,No,9,0,68,Moderate
7,62,No,9,0,58,Moderate
5,88,Yes,7,5,72,Optimal Balance
5,77,No,7,1,65,Optimal Balance
2,86,Yes,4,7,65,Moderate
4,47,No,4,6,24,Moderate
6,46,Yes,9,5,35,Moderate
7,41,Yes,7,3,34,Moderate
5,69,Yes,7,8,57,Optimal Balance
9,52,Yes,9,6,54,Moderate
3,62,No,5,6,42,Moderate
1,68,No,6,4,39,Moderate
4,77,Yes,8,0,62,Optimal Balance
9,76,Yes,8,1,71,Moderate
4,59,No,9,7,42,Moderate
2,72,Yes,8,4,52,Moderate
5,68,Yes,4,1,54,Moderate
3,89,No,4,4,68,Moderate
9,54,Yes,5,7,50,Stressed Burnout
4,62,Yes,9,3,46,Moderate
6,81,No,4,2,68,Moderate
2,42,Yes,9,4,19,Moderate
6,76,No,9,6,68,Moderate
3,95,No,7,1,74,Moderate
9,68,No,6,0,63,Inefficient High Effort
2,84,No,6,4,60,Moderate
9,47,Yes,9,6,47,Moderate
5,61,No,6,7,47,Moderate
8,92,No,6,7,87,Moderate
2,68,Yes,8,9,45,Moderate
6,41,No,8,8,31,Optimal Balance
3,80,Yes,7,0,61,Moderate
5,88,No,5,6,73,Moderate
8,98,No,4,9,92,Stressed Burnout
1,89,No,4,7,65,Moderate
5,84,No,8,5,69,Optimal Balance
3,40,Yes,9,9,20,Moderate
4,83,Yes,6,3,66,Moderate
2,59,Yes,7,6,38,Moderate
9,91,No,5,2,81,Stressed Burnout
3,60,No,8,1,39,Moderate
2,76,No,9,5,53,Moderate
9,47,Yes,7,1,44,Inefficient High Effort
7,66,No,9,5,58,Moderate
6,86,Yes,7,9,79,Optimal Balance
1,98,Yes,8,2,75,Moderate
5,74,Yes,7,1,59,Optimal Balance
3,45,No,6,7,23,Moderate
1,99,No,7,3,74,Moderate
4,84,No,5,3,65,Moderate
2,83,No,7,6,60,Moderate
2,58,Yes,4,7,32,Moderate
3,57,Yes,7,8,38,Moderate
8,95,No,9,9,91,Moderate
8,40,No,8,7,34,Moderate
7,64,No,4,3,46,Stressed Burnout
6,66,Yes,8,1,55,Optimal Balance
9,46,No,9,9,43,Moderate
4,83,Yes,5,4,67,Moderate
1,81,Yes,6,6,56,Moderate
8,68,Yes,5,1,58,Stressed Burnout
7,70,Yes,4,3,60,Stressed Burnout
7,83,Yes,9,5,77,Moderate
3,82,Yes,9,7,69,Moderate
4,75,Yes,6,9,60,Moderate
9,58,No,7,5,52,Inefficient High Effort
6,45,No,4,5,36,Moderate
5,64,No,6,5,49,Moderate
3,70,Yes,8,3,50,Moderate
9,48,Yes,6,2,48,Inefficient High Effort
5,59,No,8,0,43,Optimal Balance
5,49,Yes,8,1,34,Optimal Balance
4,76,Yes,9,1,57,Moderate
4,66,Yes,6,9,50,Moderate
1,52,Yes,9,6,28,Moderate
7,80,Yes,9,5,72,Moderate
9,41,Yes,5,7,38,Stressed Burnout
3,89,Yes,5,8,68,Moderate
2,60,Yes,9,4,41,Moderate
3,72,Yes,9,2,53,Moderate
1,63,Yes,8,3,36,Moderate
6,92,Yes,9,7,80,Moderate
7,83,Yes,4,2,73,Stressed Burnout
2,81,No,6,1,59,Moderate
8,73,Yes,4,6,67,Stressed Burnout
6,99,Yes,5,3,91,Moderate
4,48,No,4,7,34,Moderate
5,41,No,7,0,23,Optimal Balance
8,94,No,7,7,86,Moderate
3,95,Yes,5,4,73,Moderate
3,69,Yes,4,1,49,Moderate
4,61,No,6,0,43,Moderate
1,85,No,5,5,61,Moderate
9,50,No,7,8,45,Inefficient High Effort
8,94,Yes,5,8,85,Stressed Burnout
8,82,Yes,4,8,75,Stressed Burnout
6,56,No,4,3,44,Moderate
7,75,Yes,4,5,66,Stressed Burnout
6,52,Yes,8,9,45,Optimal Balance
9,46,No,4,5,40,Stressed Burnout
3,55,No,9,4,38,Moderate
3,72,No,7,1,50,Moderate
3,84,Yes,7,6,67,Moderate
3,40,Yes,8,0,21,Moderate
9,50,Yes,7,5,51,Inefficient High Effort
4,45,Yes,7,4,25,Optimal Balance
7,59,Yes,5,4,53,Stressed Burnout
9,74,No,4,7,71,Stressed Burnout
7,83,Yes,9,8,77,Moderate
9,76,Yes,9,6,75,Moderate
3,80,No,5,9,60,Moderate
4,65,No,9,7,49,Moderate
8,97,No,5,1,87,Stressed Burnout
6,51,No,9,1,40,Moderate
5,69,Yes,7,7,56,Optimal Balance
4,67,Yes,6,5,49,Moderate
8,66,No,4,7,59,Stressed Burnout
1,81,Yes,6,8,59,Moderate
9,58,No,7,8,54,Inefficient High Effort
1,44,Yes,8,5,17,Moderate
8,97,Yes,5,7,90,Stressed Burnout
4,44,Yes,9,1,23,Moderate
9,80,No,9,7,82,Moderate
5,66,No,7,2,49,Optimal Balance
3,67,Yes,9,0,50,Moderate
9,65,Yes,7,6,60,Inefficient High Effort
9,66,No,6,0,60,Inefficient High Effort
4,91,No,8,0,74,Optimal Balance
4,88,Yes,5,0,71,Moderate
8,81,Yes,9,3,77,Moderate
2,60,No,8,3,34,Moderate
9,40,Yes,8,9,39,Moderate
6,93,No,8,5,85,Optimal Balance
9,67,No,4,9,64,Stressed Burnout
8,87,Yes,8,2,87,Moderate
7,97,Yes,7,9,91,Moderate
1,97,Yes,4,5,73,Moderate
3,54,No,4,6,34,Moderate
2,94,No,8,0,70,Moderate
5,56,No,9,5,42,Moderate
5,65,Yes,9,9,55,Moderate
5,59,Yes,9,0,45,Moderate
4,64,No,9,6,49,Moderate
5,52,No,7,9,37,Optimal Balance
3,72,Yes,9,4,55,Moderate
1,64,No,5,9,38,Moderate
5,47,Yes,8,3,35,Optimal Balance
9,44,Yes,4,0,41,Stressed Burnout
9,45,No,5,8,43,Stressed Burnout
4,62,No,9,6,46,Moderate
3,91,No,5,1,69,Moderate
1,69,No,4,3,37,Moderate
2,53,No,9,3,31,Moderate
8,93,Yes,5,7,90,Stressed Burnout
1,62,No,7,1,33,Moderate
8,50,Yes,7,4,44,Moderate
7,70,No,8,9,62,Moderate
8,45,No,8,7,41,Moderate
6,50,No,5,5,38,Moderate
9,52,No,4,3,45,Stressed Burnout
3,51,No,7,4,34,Moderate
4,93,No,6,1,72,Moderate
6,41,Yes,8,4,29,Optimal Balance
8,92,No,7,2,83,Moderate
5,74,No,9,2,61,Moderate
3,94,No,5,6,75,Moderate
6,75,No,7,2,63,Optimal Balance
4,56,Yes,7,3,36,Optimal Balance
9,67,Yes,5,6,62,Stressed Burnout
3,67,Yes,8,2,49,Moderate
4,61,Yes,8,9,46,Optimal Balance
7,77,Yes,6,9,69,Moderate
7,46,Yes,6,1,35,Moderate
4,54,No,8,9,38,Optimal Balance
6,71,No,8,6,62,Optimal Balance
3,50,Yes,8,4,30,Moderate
6,63,No,8,0,52,Optimal Balance
2,42,No,7,9,16,Moderate
8,69,No,6,7,66,Moderate
2,45,No,5,2,20,Moderate
7,97,No,4,6,86,Stressed Burnout
9,41,Yes,5,5,38,Stressed Burnout
1,53,Yes,9,9,30,Moderate
8,80,Yes,4,5,71,Stressed Burnout
7,57,Yes,7,7,49,Moderate
6,90,Yes,9,3,79,Moderate
6,83,Yes,6,3,69,Moderate
6,70,No,4,2,56,Moderate
9,52,Yes,8,0,47,Moderate
2,65,No,9,9,41,Moderate
1,83,No,7,2,58,Moderate
6,51,Yes,4,0,38,Moderate
8,57,Yes,8,5,52,Moderate
3,48,Yes,9,7,25,Moderate
1,88,No,7,2,62,Moderate
9,60,Yes,9,3,60,Moderate
1,87,Yes,4,4,63,Moderate
3,88,Yes,8,6,72,Moderate
8,92,No,6,5,84,Moderate
3,95,Yes,7,1,74,Moderate
4,79,Yes,4,6,61,Moderate
8,82,No,8,7,77,Moderate
1,63,No,6,0,36,Moderate
6,73,No,9,5,65,Moderate
1,47,Yes,8,8,23,Moderate
1,83,Yes,6,6,60,Moderate
8,92,No,4,4,83,Stressed Burnout
4,72,Yes,8,9,56,Optimal Balance
1,62,No,8,9,37,Moderate
7,52,No,5,8,43,Stressed Burnout
5,93,No,7,1,76,Optimal Balance
5,92,No,8,6,83,Optimal Balance
1,88,No,6,8,63,Moderate
6,53,Yes,7,1,39,Optimal Balance
9,53,Yes,4,9,48,Stressed Burnout
9,55,Yes,7,5,53,Inefficient High Effort
8,88,Yes,5,8,84,Stressed Burnout
5,77,No,4,2,63,Moderate
1,97,Yes,8,7,73,Moderate
9,99,No,9,4,99,Moderate
1,78,No,4,6,52,Moderate
8,65,Yes,4,2,58,Stressed Burnout
5,65,Yes,5,7,50,Moderate
3,40,No,6,1,18,Moderate
